IMO,MMSI,ship_name,built_year,tanker_class,capacity_cmb,registered_country,is_capacity_estimated,total_LNG,delivery_counts,total_distance,first_delivery_record,last_delivery_record
9443401,538003354,AAMIRA,2010,Q-Max,265000,Marshall Islands,0,7420000,28,661161,2020-06-10,2024-12-13
9879698,215905000,ADAMASTOS,2021,Large Conventional LNG Carriers,174000,Malta,0,4002000,23,464831,2021-11-06,2024-06-14
9831220,224983000,ADRIANO KNUTSEN,2019,Large Conventional LNG Carriers,180000,Spain,0,5400000,30,631677,2020-01-25,2024-05-04
9338266,538003099,AL AAMRIYA,2008,Q-Flex,210168,Marshall Islands,0,6094872,29,479392,2020-04-18,2024-10-20
9431147,538003349,AL BAHIYA,2010,Q-Flex,210100,Marshall Islands,0,7773700,37,626145,2020-02-14,2024-09-16
9443683,538003355,AL DAFNA,2009,Q-Max,266000,Marshall Islands,0,9576000,36,809598,2020-01-22,2024-12-30
9337705,538002917,AL GATTARA,2007,Q-Flex,216000,Marshall Islands,0,8640000,40,584042,2020-01-13,2024-12-07
9337987,308248000,AL GHARIYA,2008,Q-Flex,209220,Bahamas,0,5858160,28,574202,2020-02-04,2024-07-19
9337717,538002920,AL GHARRAFA,2008,Q-Flex,216200,Marshall Islands,0,8431800,39,748203,2020-02-18,2024-12-23
9397286,538003353,AL GHASHAMIYA,2009,Q-Flex,216200,Marshall Islands,0,8431800,39,745880,2020-02-05,2024-11-19
9372743,538003293,AL GHUWAIRIYA,2008,Q-Max,261700,Marshall Islands,0,9682900,37,728649,2020-02-03,2024-12-23
9337743,538002922,AL HAMLA,2008,Q-Flex,216000,Marshall Islands,0,8208000,38,665708,2020-02-24,2024-12-24
9360879,309255000,AL HUWAILA,2008,Q-Flex,217000,Bahamas,0,6510000,30,508473,2020-01-20,2024-02-17
9324435,240615000,AL JASSASIYA,2007,Standard  Conventional LNG Carriers,145700,Greece,0,3788200,26,186936,2020-03-25,2024-05-02
9431123,538003358,AL KARAANA,2009,Q-Flex,210100,Marshall Islands,0,8824200,42,682802,2020-03-23,2024-12-29
9397327,538003352,AL KHARAITIYAT,2009,Q-Flex,216200,Marshall Islands,0,7350800,34,648311,2020-05-06,2024-12-26
9360881,309333000,AL KHARSAAH,2008,Q-Flex,217000,Bahamas,0,5642000,26,384166,2020-03-14,2024-01-26
9431111,538003350,AL KHATTIYA,2009,Q-Flex,210000,Marshall Islands,0,8190000,39,662202,2020-02-27,2024-12-11
9038440,636010034,AL KHAZNAH,1994,Standard  Conventional LNG Carriers,137540,Liberia,0,2475720,18,261437,2020-05-17,2024-12-31
9085613,538009754,AL KHOR,1996,Standard  Conventional LNG Carriers,137354,Marshall Islands,0,2747080,20,305716,2022-01-19,2024-05-28
9360908,311000140,AL KHUWAIR,2008,Q-Flex,217000,Bahamas,0,5642000,26,592635,2020-01-25,2024-06-01
9397315,538003357,AL MAFYAR,2009,Q-Max,265000,Marshall Islands,0,12190000,46,617708,2020-01-22,2024-12-26
9325685,311468000,AL MARROUNA,2006,Standard  Conventional LNG Carriers,151700,Bahamas,0,4854400,32,226208,2020-04-09,2024-05-13
9397298,538003356,AL MAYEDA,2009,Q-Max,266000,Marshall Islands,0,9576000,36,765921,2020-01-24,2024-12-17
9431135,538003351,AL NUAMAN,2009,Q-Flex,210000,Marshall Islands,0,7980000,38,646369,2020-02-06,2024-11-28
9360790,538003072,AL ORAIQ,2008,Q-Flex,210100,Marshall Islands,0,4412100,21,384423,2020-04-10,2024-07-14
