name,date,processed_cbm
Calcasieu Pass LNG Terminal,2020-01-01,174000
Hammerfest LNG Snohvit Terminal,2020-01-01,166686
Sabine Pass LNG Terminal,2020-01-01,160000
Freeport LNG Terminal,2020-01-02,173000
Pluto LNG Terminal,2020-01-02,127525
Rasgas LNG Terminal 3,2020-01-02,217000
Sabine Pass LNG Terminal,2020-01-02,180000
Yamal LNG Terminal,2020-01-02,172000
Gorgon LNG Terminal,2020-01-03,152615
Rasgas LNG Terminal 3,2020-01-03,216000
Sabine Pass LNG Terminal,2020-01-03,174000
Yamal LNG Terminal,2020-01-03,170000
Das Island LNG Terminal,2020-01-04,137000
Queensland Curtis LNG Terminal,2020-01-04,174000
Rasgas LNG Terminal 3,2020-01-04,266000
Yamal LNG Terminal,2020-01-04,170000
Nigeria LNG Terminal,2020-01-05,175000
Risavika LNG Terminal,2020-01-05,18000
Yamal LNG Terminal,2020-01-05,170000
Hammerfest LNG Snohvit Terminal,2020-01-06,147208
Rasgas LNG Terminal 3,2020-01-06,266000
Lysekil LNG Terminal,2020-01-07,18000
Sabine Pass LNG Terminal,2020-01-07,164000
Arzew-Bethioua LNG Terminal,2020-01-08,75500
Freeport LNG Terminal,2020-01-08,174000
Pluto LNG Terminal,2020-01-08,127544
Rasgas LNG Terminal 3,2020-01-08,474220
South Hook LNG Terminal,2020-01-08,166686
Nigeria LNG Terminal,2020-01-09,170000
Rasgas LNG Terminal 3,2020-01-09,692220
Sabine Pass LNG Terminal,2020-01-09,149700
Sakhalin II LNG Terminal,2020-01-09,150000
Yamal LNG Terminal,2020-01-09,170000
Fos Tonkin LNG Terminal,2020-01-10,75500
Hammerfest LNG Snohvit Terminal,2020-01-10,147208
Punta Europa LNG Terminal,2020-01-10,167062
Sabine Pass LNG Terminal,2020-01-10,175000
Bilbao LNG Terminal,2020-01-11,172000
Corpus Christi LNG Terminal,2020-01-11,180000
Queensland Curtis LNG Terminal,2020-01-11,167000
Sabine Pass LNG Terminal,2020-01-11,138000
Yamal LNG Terminal,2020-01-11,346000
Gorgon LNG Terminal,2020-01-12,167000
Sabine Pass LNG Terminal,2020-01-12,180000
Sines LNG Terminal,2020-01-12,160000
Sodegaura LNG Terminal,2020-01-12,174000
Hitachi LNG Terminal,2020-01-13,127525
Marmara LNG Terminal,2020-01-13,216000
Sabine Pass LNG Terminal,2020-01-13,174000
Yamal LNG Terminal,2020-01-13,172000
Zeebrugge LNG Terminal,2020-01-13,170000
Atlantic LNG Terminal,2020-01-14,138120
Boryeong LNG Terminal,2020-01-14,152615
Grain LNG Terminal,2020-01-14,170000
Oman Qalhat LNG Terminal,2020-01-14,166000
Rasgas LNG Terminal 3,2020-01-14,145663
Świnoujście Polskie LNG Terminal,2020-01-14,147208
Gorgon LNG Terminal,2020-01-15,152482
Hammerfest LNG Snohvit Terminal,2020-01-15,142759
Nigeria LNG Terminal,2020-01-15,180000
Pluto LNG Terminal,2020-01-15,125452
Risavika LNG Terminal,2020-01-15,18000
Gate LNG Terminal,2020-01-16,170000
Grain LNG Terminal,2020-01-16,174000
Rasgas LNG Terminal 3,2020-01-16,261700
Yamal LNG Terminal,2020-01-16,170000
Arzew-Bethioua LNG Terminal,2020-01-17,75500
Atlantic LNG Terminal,2020-01-17,142612
GasPort FSRU,2020-01-17,166000
Izmir Aliaga LNG Terminal,2020-01-17,180000
