date,type,from_country,to_country,amount_cmb,voyage_distance,confidence_score
2020-01-07,arrival,Norway,Sweden,18000,468.0,4.0
2020-01-08,arrival,Norway,United Kingdom,166686,2838.0,4.0
2020-01-10,arrival,Algeria,France,75500,1032.0,4.0
2020-01-11,arrival,Russia,Spain,172000,6013.0,4.0
2020-01-12,arrival,United States,Portugal,160000,8416.0,4.0
2020-01-12,arrival,Australia,Japan,174000,7107.0,4.0
2020-01-13,arrival,Australia,Japan,127525,7197.0,4.0
2020-01-13,arrival,Russia,Belgium,170000,4806.0,4.0
2020-01-13,arrival,Qatar,Türkiye,216000,7186.0,4.0
2020-01-14,arrival,Norway,Poland,147208,2577.0,4.0
2020-01-14,arrival,Australia,South Korea,152615,7139.0,4.0
2020-01-14,arrival,Russia,United Kingdom,170000,4857.0,4.0
2020-01-16,arrival,Russia,Netherlands,170000,4741.0,4.0
2020-01-16,arrival,United States,United Kingdom,174000,9042.0,4.0
2020-01-17,arrival,Norway,Sweden,18000,468.0,4.0
2020-01-17,arrival,Russia,China,150000,3069.0,4.0
2020-01-17,arrival,Oman,Pakistan,166000,899.0,4.0
2020-01-17,arrival,United States,Türkiye,180000,11771.0,4.0
2020-01-19,arrival,Australia,Japan,127544,6892.0,4.0
2020-01-19,arrival,Norway,Netherlands,142759,2451.0,4.0
2020-01-19,arrival,Qatar,Pakistan,145663,1732.0,4.0
2020-01-19,arrival,Qatar,China,266000,11188.0,4.0
2020-01-20,arrival,Qatar,South Korea,217000,11711.0,4.0
2020-01-21,arrival,United Arab Emirates,Japan,137000,12313.0,4.0
2020-01-21,arrival,Qatar,Türkiye,209220,6882.0,4.0
2020-01-22,arrival,Norway,United Kingdom,147208,2566.0,4.0
2020-01-22,arrival,Australia,China,167000,7112.0,4.0
2020-01-22,arrival,Qatar,South Korea,265000,11711.0,4.0
2020-01-22,arrival,Qatar,China,266000,11963.0,4.0
2020-01-22,arrival,Russia,Belgium,343000,9612.0,4.0
2020-01-23,arrival,Algeria,France,75500,1032.0,4.0
2020-01-23,arrival,Trinidad and Tobago,United States,138120,3949.0,4.0
2020-01-23,arrival,United States,United Kingdom,164000,8508.0,4.0
2020-01-23,arrival,Australia,China,167000,8099.0,4.0
2020-01-23,arrival,Russia,France,172000,4852.0,4.0
2020-01-24,arrival,Russia,Finland,18000,1143.0,4.0
